"Id";"Esfera";"Municipio";"Estado";"Nome";"Sigla";"Url Curta";"Gestão"
"uncme-562";"municipal";"Guarulhos";"SP";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GUARULHOS - SP";"CME-GUARULHOS-SP";"guarulhos-sp";"PRESIDENTE: SARA PEREIRA SANTANA"
"uncme-563";"municipal";"Gurjão";"PB";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GURJÃO - PB";"CME-GURJÃO-PB";"gurjao-pb";"PRESIDENTE: JOSE TIAGO NARINHO PEREIRA"
"uncme-564";"municipal";"Gurupi";"TO";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GURUPI - TO";"CME-GURUPI-TO";"gurupi-to";"PRESIDENTE: CLEIDE MARIA MARQUES MORAIS"
"uncme-565";"municipal";"Harmonia";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE HARMONIA - RS";"CME-HARMONIA-RS";"harmonia-rs";"PRESIDENTE: DENISE PERSCH, MAS EM BREVE HAVERÁ TOCA DE DIRETORIA."
"uncme-566";"municipal";"Heliópolis";"BA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE HELIÓPOLIS - BA";"CME-HELIÓPOLIS-BA";"heliopolis-ba";"PRESIDENTE: RENAN VIEIRA TAVARES"
"uncme-567";"municipal";"Herveiras";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE HERVEIRAS - RS";"CME-HERVEIRAS-RS";"herveiras-rs";"PRESIDENTE: ROBERTA DE FÁTIMA FERREIRA"
"uncme-568";"municipal";"Horizonte";"CE";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE HORIZONTE - CE";"CME-HORIZONTE-CE";"horizonte-ce";"PRESIDENTE: ROZANIA DA SILVA"
"uncme-569";"municipal";"Horizontina";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE HORIZONTINA - RS";"CME-HORIZONTINA-RS";"horizontina-rs";"PRESIDENTE: ELENIR MARIA DIDONET REHBEIN"
"uncme-570";"municipal";"Hugo Napoleão";"PI";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE HUGO NAPOLEÃO - PI";"CME-HUGO-NAPOLEÃO-PI";"hugonapoleao-pi";"PRESIDENTE: MARIA EDILENE RIBEIRO DA SILVA COSTA"
"uncme-571";"municipal";"Hulha Negra";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE HULHA NEGRA - RS";"CME-HULHA-NEGRA-RS";"hulhanegra-rs";"PRESIDENTE: EM FORMAÇÃO"
"uncme-572";"municipal";"Humaitá";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE HUMAITÁ - RS";"CME-HUMAITÁ-RS";"humaita-rs";"PRESIDENTE: LUCAS CASSIANO TADIA SEIDEL"
"uncme-573";"municipal";"Ibarama";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE IBARAMA - RS";"CME-IBARAMA-RS";"ibarama-rs";"PRESIDENTE: VÂNIA LENISE TURCATTO KLUGE"
"uncme-574";"municipal";"Ibateguara";"AL";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE IBATEGUARA - AL";"CME-IBATEGUARA-AL";"ibateguara-al";"PRESIDENTE: PATRICIA MARIA FONSECA DE ANDRADE"
"uncme-575";"municipal";"Ibiaçá";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE IBIAÇÁ - RS";"CME-IBIAÇÁ-RS";"ibiaca-rs";"PRESIDENTE: GLAUCIA MARIA PASQUALI SLONGO"
"uncme-576";"municipal";"Ibiaí";"MG";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE IBIAÍ - MG";"CME-IBIAÍ-MG";"ibiai-mg";"PRESIDENTE: DARLENE APARECIDA SOUZA SILVA"
"uncme-577";"municipal";"Ibiassucê";"BA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE IBIASSUCÊ - BA";"CME-IBIASSUCÊ-BA";"ibiassuce-ba";"PRESIDENTE: MARIA DAS GRAÇAS SOUSA NOVAIS"
"uncme-578";"municipal";"Ibicaraí";"BA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE IBICARAÍ - BA";"CME-IBICARAÍ-BA";"ibicarai-ba";"PRESIDENTE: VALDINEIA OLIVEIRA SANTOS DA HORA"
